"","PlayerName","Elig. Pos.","Team","H","2B","3B","HR","R","RBI","BB","SO","SB","Points"
"1","Ronald_Acuna_Jr","OF","ATL",60,12,0,12,43,31,27,42,18,185
"2","Mookie_Betts","OF/2B/SS","LAD",55,13,1,12,40,32,27,37,5,174
"3","Jose_Ramirez","3B","CLE",53,12,2,10,31,34,23,26,7,169
"4","Freddie_Freeman","1B","LAD",62,13,1,9,38,34,27,37,4,169
"5","Kyle_Tucker","OF","HOU",54,12,1,10,31,36,22,33,8,163
"6","Juan_Soto","OF","SDP",47,9,0,10,34,30,45,37,3,160
"7","Fernando_Tatis_Jr","SS/OF","SDP",52,11,1,13,35,33,20,48,9,154
"8","Matt_Olson","1B","ATL",52,11,0,14,35,39,29,55,0,153
"9","Rafael_Devers","3B","BOS",57,13,0,12,33,37,19,43,1,152
"10","Shohei_Ohtani","DH/SP","LAA",50,8,2,14,33,33,28,53,6,151
"11","Alex_Bregman","3B","HOU",49,10,1,8,31,31,29,27,1,150
"12","Vladimir_Guerrero_Jr","1B","TOR",53,10,0,11,30,34,21,33,2,150
"13","Pete_Alonso","1B","NYM",48,8,1,14,31,38,22,45,1,148
"14","Austin_Riley","3B","ATL",58,11,1,13,34,37,19,55,1,146
"15","Aaron_Judge","OF","NYY",47,8,0,14,34,34,29,52,3,145
"16","Nolan_Arenado","3B","STL",54,11,1,10,26,34,17,32,1,143
"17","Yordan_Alvarez","OF","HOU",46,10,0,12,30,34,23,38,0,141
"18","Ozzie_Albies","2B","ATL",53,11,2,9,31,31,15,37,4,139
"19","Marcus_Semien","2B","TEX",53,11,1,8,33,26,20,36,5,138
"20","Corey_Seager","SS","TEX",51,12,0,9,30,29,19,32,1,137
"21","Wander_Franco","SS","TBR",52,11,2,6,28,25,17,26,9,137
"22","Manny_Machado","3B","SDP",51,9,0,10,29,33,20,40,3,135
"23","Paul_Goldschmidt","1B","STL",53,11,0,9,32,30,26,48,3,134
"24","Masataka_Yoshida","OF","BOS",53,10,1,6,26,27,18,21,2,134
"25","Francisco_Lindor","SS","NYM",50,10,1,9,31,30,21,44,6,133
"26","Jose_Altuve","2B","HOU",48,10,0,8,31,22,20,30,5,130
"27","Christian_Walker","1B","ARI",49,12,0,10,28,31,22,45,2,130
"28","Luis_Arraez","1B/2B","MIA",61,11,1,2,26,19,17,15,1,128
"29","Bobby_Witt_Jr","SS/3B","KCR",52,11,2,8,29,28,12,44,11,127
"30","Nico_Hoerner","SS/2B","CHC",54,10,2,4,27,23,13,26,9,127
"31","Bryce_Harper","DH","PHI",47,11,0,8,28,28,28,44,5,126
"32","Trea_Turner","SS","PHI",55,11,1,7,30,25,15,44,9,124
"33","Bryan_Reynolds","OF","PIT",52,10,2,8,29,26,21,46,3,124
"34","Julio_Rodriguez","OF","SEA",52,10,1,9,31,29,17,55,10,123
"35","Gleyber_Torres","2B","NYY",49,9,1,8,27,26,18,37,4,123
"36","Michael_Harris_II","OF","ATL",54,12,1,7,30,29,12,45,8,122
"37","Corbin_Carroll","OF","ARI",46,9,3,8,28,28,19,49,10,122
"38","Will_Smith","C","LAD",42,8,1,8,26,28,22,32,1,120
"39","Ketel_Marte","2B","ARI",49,11,2,6,28,23,18,33,2,120
"40","Steven_Kwan","OF","CLE",49,9,2,3,27,17,20,21,5,120
"41","Cody_Bellinger","OF/1B","CHC",47,9,1,8,29,27,19,43,6,120
"42","Adley_Rutschman","C","BAL",45,11,0,6,28,22,27,33,1,119
"43","Luis_Robert_Jr","OF","CHW",53,11,0,10,30,31,11,52,6,119
"44","Christian_Yelich","OF","MIL",46,9,1,7,30,23,26,47,7,118
"45","Max_Muncy","3B/2B","LAD",38,7,0,11,29,30,31,52,1,117
"46","Nathaniel_Lowe","1B","TEX",52,10,1,7,28,27,25,49,1,117
"47","Josh_Naylor","1B","CLE",47,11,0,7,22,29,14,29,2,117
"48","Justin_Turner","3B/1B/2B","BOS",47,11,0,6,26,26,18,31,1,117
"49","Brandon_Nimmo","OF","NYM",48,9,2,6,30,21,25,42,2,116
"50","Andrew_Vaughn","OF/1B","CHW",48,10,1,8,24,28,16,37,0,115
"51","Kyle_Schwarber","OF","PHI",38,7,1,12,30,29,30,60,2,115
"52","Yandy_Diaz","3B/1B","TBR",46,9,0,5,26,20,23,27,1,113
"53","George_Springer","OF","TOR",43,7,1,8,27,23,17,34,4,113
"54","Dansby_Swanson","SS","CHC",50,10,1,8,28,27,19,53,4,112
"55","Xander_Bogaerts","SS","SDP",49,10,0,6,26,24,21,39,3,112
"56","Adolis_Garcia","OF","TEX",49,10,1,10,30,33,15,61,5,112
"57","Anthony_Santander","OF/1B","BAL",46,10,0,9,26,29,16,43,1,111
"58","Jeff_McNeil","2B/OF","NYM",52,11,1,3,23,21,14,24,2,110
"59","Alex_Verdugo","OF","BOS",49,12,1,4,25,21,15,28,2,110
"60","Randy_Arozarena","OF","TBR",46,9,1,7,27,28,19,51,8,109
"61","Jeimer_Candelario","3B","CHC",48,12,1,7,26,25,19,46,1,109
"62","Andrew_Benintendi","OF","CHW",47,10,1,4,25,19,19,30,4,109
"63","Ian_Happ","OF","CHC",46,10,1,7,26,26,27,53,3,108
"64","Matt_Chapman","3B","TOR",45,11,1,9,29,28,25,61,1,107
"65","Carlos_Correa","SS","MIN",45,10,1,7,25,24,20,41,0,107
"66","Lars_Nootbaar","OF","STL",39,8,1,7,26,22,24,39,3,107
"67","Daulton_Varsho","C/OF","TOR",42,9,1,9,25,27,15,46,5,107
"68","Ha_Seong_Kim","SS/2B/3B","SDP",43,8,1,6,24,20,20,37,7,105
"69","Bo_Bichette","SS","TOR",47,10,0,7,24,24,10,34,3,105
"70","Eloy_Jimenez","OF","CHW",46,8,0,9,23,29,13,41,0,105
"71","Lourdes_Gurriel_Jr","OF","ARI",48,11,1,6,22,25,11,33,1,105
"72","Ty_France","1B","SEA",49,10,0,6,25,24,13,35,0,104
"73","Willy_Adames","SS","MIL",45,10,0,9,26,28,20,55,2,103
"74","Harrison_Bader","OF","NYY",45,8,1,6,24,25,12,40,8,102
"75","J_D_Martinez","DH","LAD",45,10,1,9,25,30,16,53,0,102
"76","Andres_Gimenez","2B","CLE",47,9,1,5,24,24,12,40,8,101
