"","PlayerName","Team","Points"
"1","Gerrit Cole","NYY",227
"2","Spencer Strider","ATL",220
"3","Kevin Gausman","TOR",209
"4","Aaron Nola","PHI",209
"5","Luis Castillo","SEA",208
"6","Zack Wheeler","PHI",205
"7","Framber Valdez","HOU",202
"8","Zac Gallen","ARI",202
"9","Max Scherzer","NYM",200
"10","Shane Bieber","CLE",200
"11","Shohei Ohtani","LAA",198
"12","Corbin Burnes","MIL",195
"13","Justin Verlander","NYM",195
"14","Sandy Alcantara","MIA",192
"15","Logan Webb","SFG",191
"16","Yu Darvish","SDP",186
"17","Blake Snell","SDP",183
"18","Tyler Glasnow","TBR",183
"19","Dylan Cease","CHW",182
"20","Pablo López","MIN",180
"21","Nathan Eovaldi","TEX",175
"22","Félix Bautista","BAL",173
"23","Josh Hader","SDP",172
"24","Joe Musgrove","SDP",171
"25","Logan Gilbert","SEA",171
"26","Emmanuel Clase","CLE",171
"27","Clayton Kershaw","LAD",169
"28","Charlie Morton","ATL",169
"29","Carlos Rodón","NYY",167
"30","Kodai Senga","NYM",165
"31","Julio Urías","LAD",164
"32","Lucas Giolito","CHW",164
"33","George Kirby","SEA",163
"34","Joe Ryan","MIN",163
"35","Raisel Iglesias","ATL",163
"36","David Bednar","PIT",162
"37","Camilo Doval","SFG",161
"38","Shane McClanahan","TBR",160
"39","Zach Eflin","TBR",157
"40","Lance Lynn","CHW",157
"41","Jordan Montgomery","STL",155
"42","Chris Bassitt","TOR",154
"43","Jhoan Duran","MIN",152
"44","Alexis Díaz","CIN",152
"45","Jesús Luzardo","MIA",151
"46","Ryan Pressly","HOU",151
"47","Devin Williams","MIL",151
"48","Jordan Romano","TOR",151
"49","Sonny Gray","MIN",150
"50","James Paxton","BOS",150
"51","Craig Kimbrel","PHI",150
"52","Hunter Brown","HOU",149
"53","Kenley Jansen","BOS",149
"54","Marcus Stroman","CHC",148
"55","José Berríos","TOR",148
"56","Mitch Keller","PIT",146
"57","Cristian Javier","HOU",146
"58","Alex Cobb","SFG",145
"59","Miles Mikolas","STL",142
"60","Paul Sewald","SEA",142
"61","Ranger Suárez","PHI",141
"62","Freddy Peralta","MIL",141
"63","Jon Gray","TEX",141
"64","Pete Fairbanks","TBR",141
"65","Merrill Kelly","ARI",140
